address,name,return_type,params,calling_convention
00023fc7,o2_closed_loop_mode_selector_via_table,,,
00024044,f286_knock_octane_secondary_trim_compute_via_table,,,
0002415b,f27e_table_indexed_clamp_compute_via_table,,,
00024207,eeac_adaptive_trim_learn_update_via_table,,,
000242c1,f1fe_bit3_clear_and_f1f2_bit4_set_check,ushort,void,
000242f5,f0ba_f2d0_o2_mode7_8_correction_calc,void,void,
000243bc,f2d2_composite_correction_calc,void,void,
00024552,table_1e4a_lookup_with_f2d6_d8_reset,void,void,
00024596,f07a_default_reset_return_0x80,ushort,void,
000245af,f2b4_threshold_table_lookup,ushort,void,
0002463c,f2ce_f2cc_o2_mode11_correction_calc,void,void,
00024680,injpw_airvol_reset_on_fuelcut,,,
000246ae,f24e_f254_f970_f972_reset_on_f20e_bit4,void,void,
000246e0,f2e0_f2ee_correction_dispatch,void,void,
000246ee,f2e0_f2ec_composite_correction_calc,void,void,
00024884,f2ea_f2ee_composite_correction_calc,void,"undefined2 param_1,undefined2 param_2,ushort param_3",
0002495a,stub_empty_0x2495a,void,void,
0002495c,f310_f316_composite_calc,void,void,
000249f2,f250_f252_channel_snapshot_update,void,"undefined2 param_1,undefined2 param_2,ushort param_3",
00024a8e,f31c_bit_toggle_pulse,void,void,
00024cd2,f31c_bit6_set_then_clear_pulse,void,void,
00024d36,noop_return_after_f31c_pulse,void,void,
00024d3a,f25a_f2xx_state_mirror_update,void,void,
00024dee,f856_f858_clamped_calc,void,"undefined2 param_1,undefined2 param_2,ushort param_3",
00024e80,octane_level_init_or_force_from_gear_table,,,
00024eba,tcu_slip_state_block_cold_init,void,void,
00024f04,tcu_slip_control_init,void,void,
00024f48,isc_f33e_periodic_dispatch_group_b,void,void,
00024f76,mirror_f18a_to_f18e,void,void,
00024f80,f33e_bit6_update_from_table_da2c_threshold,void,void,
00024fa0,f33e_bit7_update_from_f0f8_gate,void,void,
00024fb4,f0f8_bit12_active_bit11_clear_check,ushort,void,
00024fc9,octane_level_gate_and_reset_dispatch,void,void,
0002501d,tcu_slip_and_ff54_reinit_on_f20e_bit4,void,void,
0002502d,per_cyl_knock_flag_update_cyl_a,void,void,
00025057,tcu_slip_duty_gain_condition_check,ushort,void,
0002507a,per_cyl_knock_flag_update_cyl_b,void,void,
000250ac,f3a4_bit12_13_update_and_check,undefined2,void,
000250fb,f3a4_bit10_update_dispatch,void,void,
0002510f,f0ec_bit1_threshold_gate_check,ushort,void,
0002513a,f3ba_f3bc_f3a4_hysteresis_update,void,void,
0002519e,f3a4_bit8_hysteresis_update,void,void,
000251c4,knock_event_counter_update_eec6,,,
0002523e,f3a4_bit6_gate_condition_check,undefined2,void,
00025277,knock_counter_condition_override_eec6,void,void,
000252d3,octane_level_compute_from_knock_counter,,,
000252f9,efc2_threshold_update,,,
0002532a,f33e_multi_bit_update_dispatch,void,void,
00025340,f33e_bit2_update_dispatch,void,void,
00025378,f33e_bit2_source_condition_check,ushort,void,
000253e1,f37a_correction_calc_from_f33e_bit2_or_f378,,,
00025464,f33e_bit3_update_dispatch,void,void,
0002547e,f33e_bit5_update_and_condition_check,undefined2,void,
000254d7,f33e_bit12_clear,void,void,
000254dd,f33e_bit11_bit10_hysteresis_gate_check,undefined2,void,
00025544,f20e_bit15_update_dispatch,void,void,
0002555e,f20e_bit15_source_condition_check,ushort,void,
000255c0,f33e_bit4_update_dispatch,void,void,
000255d4,f33e_bit1_hysteresis_gate_check,ushort,void,
0002561d,f33e_bit13_bit11_clear,void,void,
0002562b,isc_f342_composite_correction_calc,void,void,
0002571a,isc_f344_correction_calc,void,void,
00025742,isc_f34e_f34a_correction_calc,undefined2,void,
0002586f,isc_f35e_correction_calc,short,void,
000258c4,select_value_f194_f196,ushort,void,
000258e8,isc_f34c_correction_calc,ushort,void,
000259df,isc_f4d6_gated_offset_calc,,,
00025a25,isc_f4d6_gate_condition_check,undefined2,void,
00025a59,isc_f36a_f36c_target_calc,undefined2,void,
00025aef,isc_f37c_ramp_target_calc,undefined2,void,
00025bfd,isc_f352_table_lookup,undefined2,void,
00025c15,isc_f354_table_lookup_conditional,ushort,void,
00025c48,isc_f356_correction_calc,ushort,void,
00025cff,f33e_bit15_hysteresis_update,ushort,void,
00025d27,isc_f358_correction_calc,void,void,
00025e1b,isc_f35a_correction_calc,ushort,void,
00025e8b,isc_f374_correction_calc,ushort,void,
00025f45,isc_f36e_f370_target_calc,undefined2,void,
00025fee,isc_f350_correction_calc,void,void,
0002601a,isc_f3b2_select,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00026034,isc_f380_f37e_correction_calc,void,void,
000260b6,isc_f360_f362_correction_calc,void,void,
00026100,isc_stepper_position_reinit,void,void,
00026124,isc_stepper_mode_reinit_dispatch,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00026182,isc_stepper_position_dispatch,void,void,
000261da,isc_periodic_update_dispatch,void,void,
00026224,isc_f436_source_select_and_reset,void,void,
00026251,isc_f416_f438_reset_on_f20e_bit4,void,void,
00026271,f3fa_f3fe_target_select_by_f0f8_bit5,void,void,
0002629b,idle_target_rpm_compute_f400,,,
0002634d,isc_f41a_correction_calc,void,ushort param_1,
00026436,f3f0_f42e_correction_calc,ushort,ushort param_1,
0002655d,isc_f426_f03a_decay_calc,ushort,ushort param_1,
000265c9,f4de_f4e2_octane_correction_calc,,,
000266e2,multi_channel_update_max_dispatch,void,void,
000268b3,update_max,void,"undefined2 _unused_far_pad,ushort value",__stdcall_far
000268c4,calc_f40e_threshold_select,void,void,
000268e2,idle_stepper_table_lookup_wrapper,void,void,
00026914,isc_f036_f424_ramp_calc,undefined2,void,
00026966,isc_f416_f438_dispatch,void,void,
0002697c,f3f0_bit6_clear,void,void,
00026982,f3f0_bit13_14_15_hysteresis_gate_check,undefined2,void,
00026a09,isc_f416_f438_correction_calc,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00026a63,f0f8_bit_based_constant_select,ushort,void,
00026a99,f3f4_bit7_update_dispatch,void,void,
00026aad,efc8_zero_condition_check,uchar,void,
00026ad8,isc_f438_correction_calc,void,void,
00026b8b,stub_empty_0x26b8b,void,void,
00026b8d,isc_f428_condition_calc,void,void,
00026bc7,isc_f422_correction_calc,void,void,
00026c2e,isc_f3f2_bit6_hysteresis_gate_check,ushort,void,
00026ca4,isc_f084_f3f0_bit8_update,void,void,
00026cf0,isc_f42a_table_lookup,void,void,
00026d4d,isc_f42c_correction_calc,void,void,
00026d86,isc_f3f0_bit2_hysteresis_gate_check,ushort,void,
00026dfa,f490_bits01_or_default_select,ushort,void,
00026e0e,isc_f3f0_bit3_and_f434_update,void,void,
00026e76,stub_empty_0x26e76,void,void,
00026e78,isc_stepper_state_dispatch,void,void,
00026f12,isc_stepper_position_reached_check,undefined2,void,
00026f67,isc_stepper_state_reinit_and_target_select,void,void,
00026f82,isc_stepper_output_state_machine_eed4,,,
00027032,f3f0_target_state_reset_and_reload,void,void,
0002705b,isc_stepper_mode_state_reload_b,void,void,
000270b5,isc_stepper_mode_state_reload_c,void,void,
000270db,isc_stepper_mode_state_reload_d,void,void,
0002710d,isc_efd0_gate_condition_check,uchar,void,
00027152,isc_f408_f406_stepper_target_calc,void,void,
00027198,isc_stepper_target_dispatch,void,void,
000271f8,f3f0_bit0_update,ushort,void,
0002721a,f3f4_bit0_update_and_check,ushort,void,
0002724f,isc_stepper_trim_dispatch,void,void,
0002725d,isc_f402_stepper_target_calc,,,
00027281,f414_trim_calc_gated_by_f0f8_f3f0,void,void,
000272c6,isc_f408_correction_calc,void,void,
0002739e,f0f8_bit5_constant_select,ushort,void,
000273b8,isc_stepper_target_clamp_calc,ushort,void,
00027416,isc_f408_from_f402_dispatch,void,void,
00027428,isc_efd4_gate_condition_check,ushort,void,
00027465,isc_stepper_correction_dispatch_b,void,void,
0002747b,isc_f402_composite_correction_calc,void,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00027597,isc_f41c_table_lookup,undefined2,void,
000275c2,isc_f41e_table_lookup,undefined2,void,
00027644,f3f4_bit2_3_4_hysteresis_gate_check,undefined2,void,
000276d3,f0f8_gated_constant_select_f3f4_neighbor,undefined2,void,
000276fb,isc_f420_correction_calc,undefined2,"undefined2 param_1,undefined2 param_2,undefined2 param_3",
00027792,f216_bit6_constant_select,ushort,void,
000277b8,isc_f42e_or_default_select,ushort,void,
000277de,isc_f038_constant_select,ushort,void,
0002782a,f0f8_bit9_constant_or_calc_select,,,
0002785a,f490_bits01_constant_select,ushort,void,
000278a4,f3f0_bit8_constant_select,ushort,void,
000278ca,f0f8_masked_constant_select,ushort,void,
000278ef,isc_f416_f3f0_bit5_gate_check,short,void,
00027933,isc_f3fa_f3fe_dispatch,void,void,
00027959,isc_f406_ramp_gate_condition_check,undefined2,void,
00027990,isc_f3fa_f3fc_f3fe_correction_calc,,,
000279f1,select_const_by_flags_eeca,ushort,void,
00027a20,isc_eeca_update_dispatch,void,void,
00027a2e,isc_eeca_update_gate_condition_check,,,
00027a81,isc_eeca_eecc_eece_correction_calc,,,
00027b2b,isc_f408_composite_dispatch,void,void,
00027b6e,isc_f3fa_f3fc_f3fe_select,ushort,void,
00027b9d,isc_f406_clamp_dispatch,void,void,
00027bc6,isc_table_read_byte_clamped_2eca,undefined1,void,
00027beb,isc_f412_f082_stall_timer_calc,void,void,
00027c6d,mirror_f406_f408_to_f40a_f40c,void,void,
00027c80,startup_phase_reset_wrapper,void,void,
00027c86,warmup_state_f594_f0e6_init,,,
00027c99,engine_warmup_periodic_dispatch,void,void,
00027cb7,startup_phase_reset_eed6_cluster,,,
00027d33,eeea_bit0_update_on_efa2,void,void,
00027d55,knock_sensor_diagnostic_update,void,void,
00027e1a,f516_request_latch_f09a_calib_select,,,
00027e92,engine_warmup_dispatch_b,void,void,
00027e9c,f502_state_table_dispatch,void,undefined2 param_1,
00027f60,f502_state_index_update,void,"undefined2 _unused_far_pad,ushort advance_flag",__stdcall_far
00027fb1,f17a_load_zone_and_ef96_f1d8_check,undefined2,void,
0002800a,phase_dispatch_efa2_f500_f5ee_gate_check,undefined2,void,
00028082,f17a_f13c_load_zone_and_f514_gate_check,undefined2,void,
00028279,eee4_eeda_bit6_update_from_f0f8_bit12,void,void,
000282c1,eee0_eeee_diag_flags_reset_dispatch,,,
00028413,startup_phase_reset_eed6_eefa_bulk,,,
000284a3,knock_octane_f0e6_bit3_gate_dispatch,ushort,"ushort param_1,ushort param_2,undefined2 param_3",
00028557,knock_octane_pattern_match_state_machine,uchar,void,
00028700,f516_hibits_f520_f0f2_mode_select,,,
000287af,sci1_protocol_state_machine,,,
0002882b,sci1_dispatch_and_latch_response,,,
00028869,sci1_meta_cmd_dispatch_c0_ff,,,
00028acf,f00e_f520_f526_gate_condition_check,ushort,void,
00028b1b,f510_f512_f00e_f514_reset,void,void,
00028b2f,sci1_periodic_phase_dispatch_f526,,,
00028b62,f588_duty_gate_f516_bit11_set,,,
00028b89,phase_cases_1to6_f516_hibit_f54a_writer,,,
00028cc8,phase_case7_f590_gate_advance_or_latch,,,
00028d23,f526_state_reset_dispatch,void,void,
00028d7d,diagnostic_snapshot_f54a_f566_build,void,void,
00028f00,isc_f35c_correction_calc,void,void,
00028f13,f430_clear,ushort,void,
00028f1b,f432_clear,ushort,void,
00028f80,stub_empty_0x28f80,void,void,
00028f82,o2_wideband_state_cold_init,void,void,
00028fbc,o2_wideband_state_warm_init,void,void,
00028fff,tcu_shift_torque_and_knock_mgmt,,,
00029c33,tcu_f384_f388_hysteresis_gate_check,bool,void,
00029c68,tcu_shift_state_reset,void,void,
00029c9f,tcu_torque_state_reset,void,void,
00029cc7,tcu_shift_timing_state_machine,void,void,
00029f40,tcu_shift_timer_reset,void,void,
00029f57,tcu_shift_timer_arm,void,void,
00029f8b,tcu_f382_correction_calc,void,void,
00029fba,fuel_pw_and_airvol_compute,,,
0002a796,tcu_periodic_timer_update,void,void,
0002a7f7,f2cc_offset_accumulate,void,void,
0002a83b,channel_enable_mask_build_and_dispatch_ff2x_ff3x,void,void,
0002a882,diag_status_f200_f50e_update,ushort,void,
0002a8cf,stub_empty_0x2a8cf,void,void,
0002a8d1,stub_empty_0x2a8d1,void,void,
0002a8d3,sci3_rx_process_tcu_byte,void,void,
0002a980,tcu_gear_ratio_state_init,void,void,
0002a997,throttle_idle_state_cold_init,void,void,
0002aa36,tcu_rx_main_scheduler,,,
0002b880,tcu_gear_shift_history_reset,void,void,
0002b8ca,tcu_diagnostic_state_cold_init,void,void,
0002b9a5,tcu_shift_flags_dispatch,void,void,
0002b9f4,tcu_shift_solenoid_table_init,void,void,
0002bbbb,tcu_shift_timer_scale_init,void,void,
0002bc0f,tcu_dtc_status_check_dispatch,void,void,
0002bdb3,update_max_f04e,void,"undefined2 _unused_far_pad,ushort value",__stdcall_far
0002bdc7,tcu_f050_max_update,void,"undefined2 _unused_far_pad,ushort value",__stdcall_far
0002bddb,tcu_torque_converter_slip_calc_far_trampoline,void,void,
0002bde1,tcu_torque_converter_slip_calc,,,
0002bfc9,tiered_threshold_table_select,,,
0002c028,tcu_shift_quality_index_calc,ushort *,void,
0002c0bd,tcu_shift_pattern_threshold_select,ushort,void,
0002c129,stub_empty_0x2c129,void,void,
0002c12b,tcu_periodic_dispatch,void,void,
0002c16e,tcu_shift_ratio_buffer_update,,,
0002c2d9,tcu_solenoid_diagnostic_calc,void,void,
0002c8e9,tcu_shift_buffer_average_calc,void,"undefined2 param_1,ushort param_2",
0002ca68,coldinit_f6c0_f7c8_state_clear_and_intc_flag_read,void,void,
0002cac4,tcu_gear_ratio_calc,ushort,void,
0002cdf6,tcu_lockup_clutch_state_update,void,void,
